,Pays,Url,Drapeaux,Capitale,Langues,Population (hab),Superficie (km2)
29,Bulgarie,/wiki/Bulgarie,//upload.wikimedia.org/wikipedia/commons/thumb/9/9a/Flag_of_Bulgaria.svg/20px-Flag_of_Bulgaria.svg.png,Sofia,Bulgare,6 838 937,110 944
30,Burkina,/wiki/Burkina,//upload.wikimedia.org/wikipedia/commons/thumb/3/31/Flag_of_Burkina_Faso.svg/20px-Flag_of_Burkina_Faso.svg.png,Ouagadougou,Français,20 835 401,274 400
31,Burundi,/wiki/Burundi,//upload.wikimedia.org/wikipedia/commons/thumb/5/50/Flag_of_Burundi.svg/20px-Flag_of_Burundi.svg.png,Gitega,Français,11 865 821,27 834
32,Cambodge,/wiki/Cambodge,//upload.wikimedia.org/wikipedia/commons/thumb/8/83/Flag_of_Cambodia.svg/20px-Flag_of_Cambodia.svg.png,Phnom Penh,Khmer,17 227 142,181 035
33,Cameroun,/wiki/Cameroun,//upload.wikimedia.org/wikipedia/commons/thumb/4/4f/Flag_of_Cameroon.svg/20px-Flag_of_Cameroon.svg.png,Yaoundé,,27 744 989,475 442
34,Canada,/wiki/Canada,//upload.wikimedia.org/wikipedia/commons/thumb/c/cf/Flag_of_Canada.svg/20px-Flag_of_Canada.svg.png,Ottawa,Anglais,38 654 738,9 984 670
35,Cap-Vert,/wiki/Cap-Vert,//upload.wikimedia.org/wikipedia/commons/thumb/3/38/Flag_of_Cape_Verde.svg/20px-Flag_of_Cape_Verde.svg.png,Praia,Portugais,583 255,4 033
36,République centrafricaine,/wiki/R%C3%A9publique_centrafricaine,//upload.wikimedia.org/wikipedia/commons/thumb/6/6f/Flag_of_the_Central_African_Republic.svg/20px-Flag_of_the_Central_African_Republic.svg.png,Bangui,Français,5 990 855,622 984
37,Chili,/wiki/Chili,//upload.wikimedia.org/wikipedia/commons/thumb/7/78/Flag_of_Chile.svg/20px-Flag_of_Chile.svg.png,Santiago,Espagnol,19 212 000,755 276
38,Chine,/wiki/R%C3%A9publique_populaire_de_Chine,//upload.wikimedia.org/wikipedia/commons/thumb/f/fa/Flag_of_the_People%27s_Republic_of_China.svg/20px-Flag_of_the_People%27s_Republic_of_China.svg.png,Pékin,Chinois,1 411 780 000,9 596 960
39,Chypre,/wiki/Chypre_(pays),//upload.wikimedia.org/wikipedia/commons/thumb/d/d4/Flag_of_Cyprus.svg/20px-Flag_of_Cyprus.svg.png,Nicosie,Grec moderne,1 266 676,9 251
40,Colombie,/wiki/Colombie,//upload.wikimedia.org/wikipedia/commons/thumb/2/21/Flag_of_Colombia.svg/20px-Flag_of_Colombia.svg.png,Bogota,Espagnol,51 266 000,1 141 748
41,Comores,/wiki/Comores_(pays),//upload.wikimedia.org/wikipedia/commons/thumb/9/94/Flag_of_the_Comoros.svg/20px-Flag_of_the_Comoros.svg.png,Moroni,Comorien,1 071 229,2 236
42,Congo,/wiki/R%C3%A9publique_du_Congo,//upload.wikimedia.org/wikipedia/commons/thumb/9/92/Flag_of_the_Republic_of_the_Congo.svg/20px-Flag_of_the_Republic_of_the_Congo.svg.png,Brazzaville,Français,5 400 000,342 000
43,République démocratique du Congo,/wiki/R%C3%A9publique_d%C3%A9mocratique_du_Congo,//upload.wikimedia.org/wikipedia/commons/thumb/6/6f/Flag_of_the_Democratic_Republic_of_the_Congo.svg/20px-Flag_of_the_Democratic_Republic_of_the_Congo.svg.png,Kinshasa,Français,108 407 721,2 345 410
44,Îles Cook,/wiki/%C3%8Eles_Cook,//upload.wikimedia.org/wikipedia/commons/thumb/3/35/Flag_of_the_Cook_Islands.svg/20px-Flag_of_the_Cook_Islands.svg.png,Avarua,Anglais,21 923,240
45,Corée du Nord,/wiki/Cor%C3%A9e_du_Nord,//upload.wikimedia.org/wikipedia/commons/thumb/5/51/Flag_of_North_Korea.svg/20px-Flag_of_North_Korea.svg.png,Pyongyang,Munhwaŏ,25 831 360,120 540
46,Corée du Sud,/wiki/Cor%C3%A9e_du_Sud,//upload.wikimedia.org/wikipedia/commons/thumb/0/09/Flag_of_South_Korea.svg/20px-Flag_of_South_Korea.svg.png,Séoul,Coréen,51 709 098,100 210
47,Costa Rica,/wiki/Costa_Rica,//upload.wikimedia.org/wikipedia/commons/thumb/f/f2/Flag_of_Costa_Rica.svg/20px-Flag_of_Costa_Rica.svg.png,San José,Espagnol,5 111 238,51 100
48,Côte d'Ivoire,/wiki/C%C3%B4te_d%27Ivoire,//upload.wikimedia.org/wikipedia/commons/thumb/f/fe/Flag_of_C%C3%B4te_d%27Ivoire.svg/20px-Flag_of_C%C3%B4te_d%27Ivoire.svg.png,Yamoussoukro,Français,29 389 150,322 462
49,Croatie,/wiki/Croatie,//upload.wikimedia.org/wikipedia/commons/thumb/1/1b/Flag_of_Croatia.svg/20px-Flag_of_Croatia.svg.png,Zagreb,Croate,3 888 529,56 594
50,Cuba,/wiki/Cuba,//upload.wikimedia.org/wikipedia/commons/thumb/b/bd/Flag_of_Cuba.svg/20px-Flag_of_Cuba.svg.png,La Havane,Espagnol,11 032 343,110 860
51,Danemark,/wiki/Danemark,//upload.wikimedia.org/wikipedia/commons/thumb/9/9c/Flag_of_Denmark.svg/20px-Flag_of_Denmark.svg.png,Copenhague,Danois,5 873 420,2 210 579
52,Djibouti,/wiki/Djibouti,//upload.wikimedia.org/wikipedia/commons/thumb/3/34/Flag_of_Djibouti.svg/20px-Flag_of_Djibouti.svg.png,Djibouti,français,1 020 333,23 200
53,République dominicaine,/wiki/R%C3%A9publique_dominicaine,//upload.wikimedia.org/wikipedia/commons/thumb/9/9f/Flag_of_the_Dominican_Republic.svg/20px-Flag_of_the_Dominican_Republic.svg.png,Saint-Domingue,Espagnol,10 499 707,48 67
54,Dominique,/wiki/Dominique_(pays),//upload.wikimedia.org/wikipedia/commons/thumb/c/c4/Flag_of_Dominica.svg/20px-Flag_of_Dominica.svg.png,Roseau,Anglais,74 243,754
55,Égypte,/wiki/%C3%89gypte,//upload.wikimedia.org/wikipedia/commons/thumb/f/fe/Flag_of_Egypt.svg/20px-Flag_of_Egypt.svg.png,Le Caire,Arabe,102 334 000,1 001 450
56,Émirats arabes unis,/wiki/%C3%89mirats_arabes_unis,//upload.wikimedia.org/wikipedia/commons/thumb/c/cb/Flag_of_the_United_Arab_Emirates.svg/20px-Flag_of_the_United_Arab_Emirates.svg.png,Abou Dabi,Arabe,9 992 083,82 880
57,Équateur,/wiki/%C3%89quateur_(pays),//upload.wikimedia.org/wikipedia/commons/thumb/e/e8/Flag_of_Ecuador.svg/20px-Flag_of_Ecuador.svg.png,Quito,Espagnol,17 668 000,256 370
58,Érythrée,/wiki/%C3%89rythr%C3%A9e,//upload.wikimedia.org/wikipedia/commons/thumb/2/29/Flag_of_Eritrea.svg/20px-Flag_of_Eritrea.svg.png,Asmara,Tigrigna,3 546 000,117 600
59,Espagne,/wiki/Espagne,//upload.wikimedia.org/wikipedia/commons/thumb/9/9a/Flag_of_Spain.svg/20px-Flag_of_Spain.svg.png,Madrid,Espagnol,46 934 632,505 911
60,Estonie,/wiki/Estonie,//upload.wikimedia.org/wikipedia/commons/thumb/8/8f/Flag_of_Estonia.svg/20px-Flag_of_Estonia.svg.png,Tallinn,Estonien,1 228 624,45 339
